portfolio_id,return
PF00001001,0.0251198410988
PF00001004,0.0251198410988
PF00001009,0.0251198410988
PF00001013,0.0251198410988
PF00001014,0.0251198410988
PF00001015,0.0251198410988
PF00001017,0.0251198410988
PF00001023,0.0251198410988
PF00001024,0.0251198410988
PF00001025,0.0549638867378
PF00001028,0.0251198410988
PF00001032,0.0251198410988
PF00001036,0.0251198410988
PF00001041,0.0251198410988
PF00001045,0.0251421332359
PF00001047,0.0251198410988
PF00001049,0.0251198410988
PF00001053,0.0568575263023
PF00001060,0.0251198410988
PF00001067,0.0251198410988
PF00001068,0.0251421332359
PF00001069,0.0251421332359
PF00001077,0.0251421332359
PF00001078,0.0251421332359
PF00001085,0.0251421332359
PF00001086,0.0562931895256
PF00001087,0.0251421332359
PF00001088,0.0251421332359
PF00001092,0.0251421332359
PF00001095,0.0251421332359
PF00001099,0.0251421332359
PF00001100,0.0251421332359
PF00001104,0.0251421332359
PF00001105,0.0254184007645
PF00001107,0.0254184007645
PF00001108,0.057556271553
PF00001112,0.0254184007645
PF00001119,0.0254184007645
PF00001123,0.0254184007645
PF00001126,0.0254184007645
PF00001132,0.0251421332359
PF00001135,0.0251421332359
PF00001145,0.0251421332359
PF00001148,0.0251421332359
PF00001153,0.0251421332359
PF00001155,0.0583797991276
PF00001161,0.0251421332359
PF00001164,0.0251421332359
PF00001165,0.0251421332359
PF00001171,0.0583797991276
PF00001178,0.0251421332359
PF00001179,0.0301066339016
PF00001180,0.0583797991276
PF00001194,0.0251421332359
PF00001199,0.0251421332359
PF00001198,0.0283482074738
PF00001203,0.0251421332359
PF00001204,0.0251421332359
PF00001209,0.0583797991276
PF00001210,0.0251421332359
PF00001218,0.0251421332359
PF00001220,0.0251421332359
PF00001223,0.0251421332359
PF00001225,0.0251421332359
PF00001227,0.0251421332359
PF00001230,0.048679292202
PF00001233,0.0251421332359
PF00001236,0.0251421332359
PF00001238,0.0251421332359
PF00001239,0.0580987632275
PF00001241,0.0580987632275
PF00001243,0.0251421332359
PF00001244,0.0254184007645
